"Project_Budget_External_ID__c","Project__c","Costs__c","Description__c"
"4624","394","60.00","20 tins colored Paint"
"4626","394","80.00","40 bicycle tires"
"4627","394","140.00","14 Days of 2 Carpenters"
"4628","394","70.00","14 days of architect"
"5394","408","300.00","12 tafels"
"5395","408","300.00","12 stoelen"
"5396","408","200.00","grote lange tafel van 8 meter voor computers"
"5397","408","200.00","2 kasten"
"44351","1123","100.00","Mobilisation- Transportation of the facilitators to the meeting to discuss the project's aims and activities with the community"
"5456","425","420.00","60 Engelse leesboeken op het laagste niveau  x 7"
"5457","425","400.00","40 Engelse leesboeken van de penguin serie x 10"
"5458","425","300.00","20 Engelse lesboeken (voor elke niveau 5) x 15"
"5459","425","150.00","10 Computer lesboeken (voor beide computer cursussen 5) x 15"
"42915","959","250.00","Reizen van en naar het project"
"42916","959","1000.00","Benodigdheden voor kippenhok
€ 40 x 25 families"
"5012","354","500.00","(Uruguayaanse) ontwerper/grafisch vormgever die bekend is met systeem dat zich op de laptops bevindt (anders dan b.v. windows).
(50 uur = €10 per uur)"
"5013","354","500.00","(Uruguayaanse) programmeur die bekend is met het systeem dat zich op de laptops bevindt (anders dan b.v. windows).
(50 uur= €10 per uur)"
"42917","959","375.00","Training, maaltijden en materialen 
€ 5 p.p. x 25 deelnemers x 3 dagen"
"42918","959","1000.00","Dierenvoeder 
€ 40 x 25 families"
"36516","1409","10000.00","1 x €10.000,-"
"6464","115","1100.00","aangepaste rolstoel x 2"
"42919","959","200.00","Aankoop hanen 
€ 4 p.s. x 2 per familie x 25 families"
"6465","115","150.00","vervoerskosten"
"5603","247","300.00","Opknappen van het pand
Badkamer: 100 euro
(wastafel,douche,vloer en wc potjes voor kleintjes)
Vloer: 175 euro
(vloerbedekking in 1 lokaal en linoleum in 1 lokaal)
Traliedeur:25 euro
(voor ventilatie)"
"5604","247","145.00","Inventaris slaap/gymlokaal
matrassen 6x 6,-euro= 36,-
1 wiegje 75,-
lakentjes x12 stuks=24,-
( voor dit lokaal zijn de vloerbedekking en de ballen )"
"5605","247","257.00","Inventaris leslokaal
Boekenkast met buro =200,-
ehbo doos= 37,-
speelgoedkist = 20,-"
"5606","247","200.00","Speelmateriaal:
knutselschorten 5,- x 12 = 60 euro
speelblokken 16 euro
puzzels en educatieve spellen 35 euro
ballen 8 euro per stuk
verder nog knuffels, boekjes en ander speelgoed tot 49,-"
"5607","247","150.00","Creatief materiaal:
lijm,verf, (kleur)potloden,
papiersoorten,krijt,
penselen,schriftjes,
klei,puntenspijpers ect.."
"5608","247","130.00","Lesboeken:
interactief docentenboek per leerjaar is 65 euro. x 2=
( dit is het meest gebruikte en beste lesmethode nu in peru)"
"5609","247","65.00","Rest benodigdheden:
Extra nodig:
Een start voorraad van ong. 60 euro.
wc papier, hand/theedoeken, schoonmaak spullen, zeep, luiers, tandpasta
ect. ."
"11150","682","4000.00","Deel van de kosten voor vervanging van SCORE busje"
"40758","1515","468.00","- Capacity building/training in pig rearing and marketting techniques 
 Purchase of equipment for Training and educative talks ( flips carts, scissors, cellow tapes, bold markers, thumb tags, craft papers etc…)
- Renting of hall  for training (2 weeks)"
"40759","1515","130.00","Community mobilization and sensitization 
Educate the community on the project, radio anouncements, visits to the community etc...)"
"15053","745","4800.00","8 x 600"
"17721","767","1640.00","320 ToTs @ Euro 5.125"
"5460","425","480.00","1 laptop voor de bibliotheek administratie"
"5461","425","200.00","10 Engelse les DVDs x 20"
"5462","425","100.00","5 Computer les DVDs x 20"
"16711","715","3600.00","800 x 4,50 euro Overige materialen (Klamboes en Touw)"
"16712","715","100.00","10 x 10,00 Communicatie materialen (Fotokopien, voorbeeldklamboe, koffie / thee / suiker)"
"5474","31","4888.00","Het bedrag dat via de 1%CLUB wordt aangevraagd zal worden gebruikt voor training, tuingereedschappen, inheemse planten & bomen en andere voorzieningen voor de moestuin (die uitgroeit met een boomgaard en kwekerij zodat de gehele gemeenschap er van gaat pr"
"17722","767","3360.00","160 Kits @ Euro 21.00"
"16713","715","300.00","10 x 30,00 Transport (van de Klamboes)"
"42482","1297","3600.00","20 women*180Loan)"
"42483","1297","1400.00","10 Computers* 140"
"8797","20","4000.00","Uw brijdage wordt  gebruikt voor de bouw van het tehuis."
"8139","462","2812.00","Educatieve en recreatieve voorzieningen"
"16042","761","2750.00","Materialen"
"42920","959","1500.00","Aankoop kippen. 
€ 3 p.s. x 20 per familie x 25 families"
"35937","1436","2500.00","5 distributiedagen x 500 per dag"
"35938","1436","500.00","1000 spreuken x 0,50 drukkosten"
"8546","145","1000.00","Vier proef en selectie trainingsdagen in vier divisies in Kilifi district"
"8547","145","600.00","Een residentiele training in voetbal- en life skills coaching voor 35 meiden"
"8548","145","600.00","Zes follow up trainingsdagen voor 35 voetbal- en life skills coaches"
"35939","1436","1000.00","1000 oliebollen x 1 euro bakkosten"
"43399","1610","3240.00","10 x 324"
"43400","1610","160.00","Administratiekosten 1% club"
"17355","870","50.00","others"
"17356","870","200.00","ballast (2*100)"
"8670","522","510.00","3 workshops voor de gemeenschap (materiaal, kosten trainer, gastsprekers lunch e.d.)"
"8671","522","1020.00","6 workshops voor de jeugd (materiaal, kosten trainer, lunch, gastsprekers e.d.)"
"8672","522","250.00","Counseling groep mannen (materiaal, kosten social worker)"
"8673","522","250.00","Counseling groep vrouwen (materiaal, kosten social worker)"
"8674","522","200.00","AIDS info centrum huur 2 jaar"
"8675","522","300.00","AIDS info centrum inrichting (stoelen, tafels, kasten e.d.)"
"8993","555","285.00","golfplaten (18 x 15,85)
voor dak"
"8676","522","530.00","AIDS info centrum les/info materiaal (boeken, videomateriaal, multimedia brochures, folders etc.)"
"17357","870","3000.00","pipes (300*100)"
"17358","870","750.00","Cement (100*7.5)"
"17359","870","1000.00","stones (5*200)"
"22034","953","44.00","1 projectiescherm x Q 445,00"
"22035","953","180.00","2 extra lampen"
"22036","953","75.00","Onvoorziene kosten (administratiekosten 1%Club en overige onvoorziene kosten)"
"6341","424","700.00","2 x € 350,00"
"6346","178","2100.00","Niketan wil geld voor het aanschaffen van materiaal voor de houtbewerkingsgroep( hout, verf, etc) voor de jongeren met een handicap, zodat zij voor de kinderen van het dagcentra spelmateriaal kunnen maken."
"15170","752","2500.00","50 trommels x € 50,-"
"42484","1596","100.00","Miscellaneous"
"42485","1596","300.00","Kitchen Utensils"
"42486","1596","200.00","22"" Color TV with  Video Deck + DVDs"
"42487","1596","300.00","Rechargeable Emergency Torch light"
"42488","1596","300.00","35 smokeless earthen oven construction"
"42489","1596","600.00","Bed Shee,  Blankets Mosquit Nets Pillows"
"42490","1596","300.00","House wiring  materials +  Power saving Light  Bulbs+ wirimng  wage"
"17511","526","150.00","bevestiging panelen"
"42491","1596","100.00","Two five- litre - Water Tank"
"17512","526","50.00","transport"
"17513","526","1099.00","Zonnepanelen"
"42492","1596","50.00","DVDs related to religions"
"42493","1596","100.00","VCD player"
"42494","1596","100.00","Furniture for TV preservation"
"42495","1596","100.00","Transportation"
"42496","1596","150.00","A Solar panel set"
"35701","1413","1500.00","7 nieuwe beginner surfboards"
"35940","982","2000.00","Training 40 jongeren x 50 euro (incl. uniform)"
"35941","982","1500.00","20 stadsfietsen x 75 euro"
"11108","315","500.00","Toernooi bijdrage team  
1 x € 500,-"
"11109","315","800.00","Training team
4 x € 200,-"
"11110","315","900.00","Vervoer team (45p)
45 x € 20,-"
"11111","315","1350.00","Accommodatie team (45p)
45 x € 30,-"
"11112","315","450.00","Maaltijden + drinken (45p)
45 x € 10,-"
"35942","982","1000.00","5 straatverkoop fietsen x 200 euro"
"35943","982","5000.00","10 mountainbikes x 500 euro"
"8549","213","4573.00","Gereedschappen voor groententuinen voor omwonende vrouwen op terrein van de school en de voor de bananen/papaya plantage van de school."
"21767","848","900.00","Graafwerkzaamheden voor rioolput 21000 ETB"
"21768","848","500.00","Cement (2 kwintaal) voor vloeren en muren 12000 ETB"
"21769","848","50.00","Verf  voor muren 1200 ETB"
"19707","337","800.00","20 Potten zeefdrukverf à € 40"
"19708","337","800.00","Zeefdrukmachine halffabricaat à € 800"
"35944","982","2000.00","Organisatie en uitvoering 2 meerdaagse fietstochten"
"35945","982","1280.00","Staf 8 maanden x 160 euro"
"35946","982","1500.00","Marketing"
"35947","982","200.00","Vergunningen e.d."
"35948","982","725.00","Overhead en overige kosten (5%)"
"21770","848","200.00","Deuren (6x 800 ETB) 4800 ETB"
"21771","848","500.00","Toiletpotten (6x 2000) 12000 ETB"
"21772","848","400.00","10 personen (10*1000 ETB)"
"21773","848","128.00","Transactiekosten (5%)"
"36286","1047","943.00","Pijpleiding dun 37 gezinnen"
"36287","1047","1260.00","Hoofdpijpleiding, ± 2000m"
"42921","1118","300.00","Specialized labor (plumbing, brick laying, electricity)"
"39661","1299","200.00","@ EUR200
laying the foundation"
"33675","379","5000.00","50 x €100"
"39662","1299","200.00","@ EUR200
building the supporting post"
"39663","1299","500.00","@ EUR500
buying the building materials"
"39664","1299","500.00","buying seedling for tomatoes and onions @ EUR500"
"42922","1118","200.00","Food services course 3 months VETA Mikumi"
"10582","187","2912.00","Het geld dat via de 1%CLUB wordt aangevraagd wordt gebruikt voor de aankoop van een arsenaal basisgereedschap die voor alle klussen in en om de werkplaats gebruikt gaan worden."
"6914","106","2220.00","Het aan 1%-leden gevraagde bedrag zal gebruikt worden voor de verdere inrichting van de bibliotheek van het Resource Center (meubilair, boeken, leermiddelen)."
"10368","615","7000.00","Aanschaf Auto"
"10369","615","250.00","Verzekering eerste jaar"
"10412","658","805.00","65x lumber		500
14x iron sheet		115
4 boxes of nails		40
1 box of bolts		25
1 box of nuts		20
Paint		60
4 bags of cement		20
25 feet of rope		25"
"10413","658","340.00","Hand power saw		170
Battery powered drill		100
General basic tools		70"
"10414","658","55.00","5 days of local Carpinter		55"
"6687","415","500.00","Development of website and brochure"
"6688","415","500.00","Business plan development"
"10448","562","283.00","Muziek instrumenten:
2 traditionele javaanse drums (kendang) = 800.000 Rupiah p.stuk= 1.600.000 Rupiah= 137 euro.

1 kinder set angklung (bamboo xylofoon):
KIDDY ORCHESTRA: 30 Pcs (+ Bamboo racks) Consist Of: 3 Set of 2 Tubes Melody ( 8 Pcs ) Bas (3 P"
"34429","1318","1650.00","Medische instrumenten, medicijnen, en medische verbruiksartikelen"
"34430","1318","80.00","Bekendmaking medisch consult"
"34431","1318","160.00","Educatieve materialen voor patienten over verschillende aandoeningen"
"34432","1318","85.00","Transport en lunch voor de zorgverleners naar en op de locatie"
"8994","555","15.00","nokplaten (2 x 7,50)"
"8995","555","3.00","spijkers (3 x 0,95)
voor bevestigen nok- en golfplaten"
"42715","1469","6550.00","50 schoffels x 10  = 500
50 Grote hakmessen x 10= 500
50 hakbijlen x 10 = 500
2 kettingzagen x300 =600 
100 kilo Maiskorrels (zanden)x5 =500 
500kg van cassave stekken x 3=1500
100Kg pindas zanden x 4 =400
100kg stekken van zoet aardapelen x 4 =400"
"42923","1118","200.00","Housekeeping course 3 months VETA Mikumi"
"42924","1118","250.00","Cement: 25 bags x10 euro/bag"
"42925","1118","60.00","Conduits for water (diam 20mm-length 4m) 15 pieces at 4 euro/piece"
"29217","635","100.00","Workshops: Lunch/koffie break"
"42926","1118","650.00","Solar system 100W"
"12004","100","3560.00","Afwerking en inrichting van een reeds gebouwde gaarkeuken."
"42927","1118","150.00","Watertank - 2000 Liter"
"42928","1118","50.00","Waterpipe (1 inch) - 100m x 0,5 euro/meter"
"42929","1118","200.00","Dining table: 2x100euro/unit"
"42930","1118","160.00","Chairs (safari style): 8x20 euro/unit"
"42931","1118","300.00","Bathroom items (shower, toilet, lavabo): 2x150 euro/unit"
"44519","1401","18.00","Kassa"
"42932","1118","80.00","Night tables: 4x20 euro/unit"
"42933","1118","300.00","Single bed+mattress: 6x50 euro/unit"
"42934","1118","100.00","Tatched roof over tents"
"36960","1446","10.00","5 ecosurf wax warm"
"36961","1446","10.00","5 ecosurf wax basecoat"
"10241","131","1000.00","- keukentafel, stoelen, kasten
- gaskomfoor + gasfles
- grote kasten in woonkamer en in 1 slaapkamer
- drooglijnen, verankerd, buiten"
"36962","1446","29.00","1 leash van gerecycled plastic, levenslange garantie"
"10370","571","1512.00","8 naaimachines (tweedehands) ca € 189,-"
"10371","571","260.00","80 Garen, per klos"
"10372","571","48.00","32 Machinenaald universeel, per 5 stuks"
"16744","774","750.00","Beamer"
"10373","571","56.00","32 Machinenaald voor stevige stoffen, per 5 stuks"
"10374","571","80.00","32 Machinenaalden voor dikke stoffen, per 5 stuks"
"10375","571","149.00","10 Scharen"
"10376","571","23.00","8 Naamachinespoeltjes, per 6 stuks"
"10377","571","30.00","10 centimeterband a 30,-"
"10378","571","132.00","8 Naaiboxen a 16,50"
"10379","571","16.00","8 Radeerwiel a 2,00"
"10380","571","95.00","10 Spelden, per 30 gram 9,50"
"10381","571","79.00","20 Patroonpapier, per 10 mtr"
"10382","571","299.00","100 Linnen, per mtr"
"10383","571","300.00","1 Katoen per rol"
"10384","571","25.00","1 boordband en overige materialen"
"7554","494","600.00","2 x set Computer (monitor, cpu, ed)"
"7561","405","390.00","Materiaal en gereedschap: 
Opbergkast voor gereedschap: 100 
Hout: 50 
Overig materiaal: 80 
Lak 10 
Gereedschap: 150"
"7562","405","150.00","Training: 
Vergoeding docent: 150 
(voor een periode van 4 maanden, 5 dagen per week)"
"10449","562","113.00","Materialen decor:
Hout: 4 platen (70.000 Rp), 8 latten (80.000 Rp), 16 bamboo latjes (80.000 Rp), schroeven (50.000 Rp)= 280.000Rp= 24 euro.
Verf: 5 grote potten basiskleuren (300.000 Rp), kwasten (70.000 Rp) schoonmaakspullen (30.000 Rp)= 400.000Rp= 35"
"10450","562","240.00","materialen kostuums voor de voorstelling: 4 euro per kostuum per meisje=4x60=240 euro= 2.800.000Rp"
"10451","562","138.00","drukkosten Flyers: 4000 flyers x 400Rp.p.flyer=1.600.000Rp=138 euro"
"10452","562","210.00","Lunches (rijst en kip) voor de workshops en bij de voorstellingen met de meisjes: 55 bijeenkomsten x 3,83 euro (45.000Rp) per bijeenkomst= 2.475.000Rp= 210 euro"
"8184","320","300.00","3 schoolborden 300 euro"
"8185","320","900.00","60 stoelen (15 euro per stoel) 900 euro"
"8186","320","1050.00","30 Tafels (35 euro) = 1050 euro"
"8187","320","500.00","5 Kasten (gesloten) voor lesmateriaal en leraren = 500"
"8188","320","450.00","6 ventilatoren = 450"
"8189","320","100.00","Scanner = 100"
"8190","320","100.00","Sealer = 100"
"8191","320","400.00","LAN Connectie = 400"
"8192","320","600.00","40 overalls (werkkleding) = 600"
"9669","564","500.00","Bulldozer (15h x 33EUR)"
"9670","564","104.00","Transport bulldozer (2keer x 52EUR)"
"9671","564","433.00","Cement  (50 zakken x 8,6EUR)"
"9672","564","96.00","Zand (7 kuub x 13,75EUR)"
"9673","564","110.00","Ballast zand (8 kuub x 13,75EUR)"
"9674","564","483.00","Zinken golfplaten (69 stuks x 7EUR)"
"9675","564","60.00","Bamboe palen 7m (21 stuks x 2,9EUR)"
"9676","564","19.00","Bamboe palen 4m (12 stuks x 1,6EUR)"
"9677","564","542.00","Arbeid (240h x2,25EUR)"
"9678","564","313.00","Bio gas installatie onderdelen [plasticvat en leidingen] (1x 313EUR)"
"29218","635","200.00","Workshops: Huur lokaal"
"29219","635","300.00","Workshops: Gastdocenten"
"29220","635","350.00","Workshops: Lesmaterialen (camerahuur, schriften, pennen etc)"
"9679","564","83.00","Onvoorziene uitgaven (b.v wisselkoers wijzigigngen, extra kosten)"
"9680","564","294.00","Stenen (1500 stuksx 0,2EUR)"
"11082","46","2543.00","Het geld dat via de 1% club wordt in gezameld zal worden uitgegeven aan een uitbreiding van de babykamer en de keuken"
"8986","555","50.00","opbergkast"
"8987","555","150.00","lesmateriaal (2 x 75,00) per kit
1 kit voor kleuters, 1 kit voor peuters"
"8988","555","70.00","kussens (20 x 3,50)
met wasbare hoes"
"8989","555","115.00","inflatiecorrectie 5%"
"8990","555","230.00","onvoorzien / koersverschillen 10%"
"8991","555","11.00","sluitwerk (3 x 3,50)"
"8992","555","84.00","maken dakbalken (4 x 6 x 3,50)
4 personen, 6 dagen"
"8996","555","60.00","grind (40 x 0,15) per zak
voor fundering"
"8997","555","50.00","stenen dragen
voor fundering"
"8998","555","18.00","zand (40 x 0,45) per zak
voor fundering"
"8999","555","40.00","zand dragen (40 x 1,00) per zak
voor fundering"
"9000","555","52.00","cement (8 x 6,50) per zak
voor fundering"
"9001","555","8.00","cement dragen (8 x 100) per zak
voor fundering"
"9002","555","14.00","vloer leggen (2 x 2 x 3,50)
2 personen, 2 dagen"
"9003","555","50.00","natuursteen hakken
4 stapels"
"9004","555","50.00","natuursteen dragen
4 stapels"
"9005","555","75.00","klei dragen (10 x 3 x 2,50)
10 personen, 3 dagen"
"9006","555","360.00","metselaar (3 x 30 x 4,00)
3 personen, 30 dagen"
"42935","1118","2000.00","Small canvas tent: 4x500euro/unit"
"9776","119","2685.00","Huren van het huis, betalen van gas, water voorzieningen voor 1 jaar"
"9007","555","130.00","cement (20 x 6,50) per zak
voor stuken muren binnen en buiten"
"9008","555","20.00","cement dragen (20 x 1,00) per zak"
"9009","555","45.00","zand (100 x 0,45)
voor stuken"
"9010","555","100.00","zand dragen (100 x 1,00)"
"9011","555","49.00","stuukwerk (2 x 7 x 3,50)
2 personen, 1 week"
"9012","555","29.00","verf (25 x 1,15)
per liter"
"9013","555","14.00","schilder ( 1 x 4 x 3,50)
1 persoon, 4 dagen"
"9014","555","25.00","deurkozijn
hardhout"
"9015","555","20.00","deur
hardhout"
"9016","555","90.00","raamkozijn (2 x 45,00)
120 x 120 cm, hardhout"
"9017","555","34.00","raam (2 x 17,00)"
"9018","555","36.00","luiken (4 x 9,00)
hardhout"
"9019","555","50.00","vloerbedekking"
"9020","555","80.00","krukjes (20 x 4,00)"
"9021","555","120.00","lage tafels (4 x 35,00)"
"9022","555","35.00","tafel docent"
"9023","555","10.00","stoel docent"
"9777","119","54.00","overhead 2%"
"39665","1299","500.00","@ EUR500
planting and naturing"
"39666","1299","700.00","@ EUR700
water connections and pipes"
"39667","1299","600.00","@ EUR600
labour"
"39803","672","950.00","Trainen 10 I Care ambassadeurs:
- Ontwikkelen trainingsmateriaal
- Geven van de trainingen aan potentiële ambassadeurs
- Lunch tijdens de trainingen
- Een dag meelopen met de ambassadeurs"
"36963","1446","490.00","1 board (balsa/teak) 7'20"" 5/8 2""12
inclusief vinnen en levenslange garantie, gemaakt op een milieuvriendelijke basis, van sustainable grown balsa en teak hout."
"34756","952","312.00","3*104"
"36288","1047","1000.00","Overige kosten, waterslangen etc.
Overige kosten zijn vooral 2x 500m slangen (€850.-), flippers (€ 90,-) en klemmen en onvoorzien € 60,-."
"36289","1047","1000.00","Boren van putten
Pijpen 6 buizen van ± 15m  € 225.-
6 Pompen  (motor) € 750,-
Klein materiaal (klemmen,lijm) € 25.-"
"36290","1047","288.00","74 Kranen, 2 per gezin"
"36291","1047","473.00","148 Koppelingen"
"36292","1047","35.00","2 potten lijm"
"9214","454","2284.00","Bendodigde bouwmaterialen"
"9215","454","400.00","Transport bouwmaterialen"
"9216","454","225.00","De 'echte' bouwers"
"9867","397","2300.00","Building: 504 sq ft. of rooms and 294 sq.ft of veranda and corridor"
"10243","387","3200.00","6 x  € 555,-"
"16745","774","12.00","USB stick"
"11160","421","900.00","6 naaimachines à € 150"
"11161","421","20.00","naalden, hulpmaterialen à 16,66"
"11162","421","80.00","stoffen"
"29701","653","552.00","Wages for Warehouse Clerk (1 Female)"
"29702","653","552.00","Wages for the Receiving and Packing Warehouse Associate position(1 Male)"
"29703","653","305.00","Cost of painting the warehouse to give it a fresh appealing look."
"29704","653","229.00","Cost of building a drainage system to eliminate dirt and mud deposited around the building."
"24260","855","380.00","installation and labor costs"
"24261","855","882.00","cereal/legume mixer( 2.5 ton capacity)"
"24262","855","316.00","40 HP mortar"
"24263","855","750.00","5 calibrated steel premix tanks( 1 ton capacity each)"
"24264","855","565.00","volumetric measurer"
"24265","855","755.00","calibrated dispenser"
"24266","855","710.00","micro processor"
"24267","855","390.00","digital dose release timing meter"
"24268","855","250.00","service and administrative  costs 1% club"
"8474","318","849.00","2 wasmachines"
"8475","318","760.00","2 wasdrogers"
"8476","318","18.00","1 uithangbord"
"8477","318","18.00","1 weegschaal voor 40 pond"
"8478","318","16.00","4 manden"
"8479","318","105.00","1 grote tafel"
"8480","318","40.00","2 strijkplanken"
"8481","318","27.00","2 strijkijzers"
"8482","318","150.00","Inhuren deskundige opzetten wasserette"
"9272","384","2000.00","Een rat trainen en verzorgen van geboorte tot een mooie -dik verdiende- oude dag."
"9273","384","2000.00","Een rat trainen en verzorgen van geboorte tot een mooie -dik verdiende- oude dag."
"9274","384","2000.00","Een rat trainen en verzorgen van geboorte tot een mooie -dik verdiende- oude dag."
"8703","559","800.00","Bouwmaterialen voor de gehele constructie van de w.c,s -douche,s -ontbijt/eetruimte en keuken."
"8704","559","100.00","Alle bouwmaterialen wat te maken heeft met  electricteit"
"8705","559","920.00","Muurtegels, vloertegels voor w.c,s -douche,s - eet/ontbijtruimte en keuken,
 kinder-en volwassensanitair, buitenwasbakken"
"8706","559","840.00","keuken/eetruimte benodigdheden
koelkast                                              
gasfornuis                                          
borden,bestek,pannen,glaswerk,etc        
pastic tafels                                 
plastic stoelen       "
"8707","559","100.00","3 brandblusapparatuur                       
ladder                                                   
5 vuilnisbakken                                           
uitgebreide ehbo kit                           ""            
schoonmaakartikelen
(bezems"
"8708","559","900.00","arbeidsloon"
"8709","559","140.00","bezorgkosten"
"8710","559","290.00","kosten onvoorzien (koers is sterk gewijzigd)"
"8711","559","475.00","Projectkosten"
"11247","662","300.00","40 zakken cement a 7,50 Euro per zak"
"18327","212","4900.00","Voor het trainen van 20 mentoren (begeleiders uit het bedrijfsleven), voor 14 leerdagen van de trainees terwijl ze op stage zijn (terugkomdagen), een afstudeerceremonie voor de eerste lichting studenten, 5 computers, meubilair en 2 fietsen."
"34569","1142","500.00","aanschaf videocamera"
"34570","1142","500.00","aanschaf beamer"
"34571","1142","1050.00","Posters en folders laten drukken € 250,=
Boeken 20x	 € 600,=
Lesmappen maken 20x	€ 200,="
"9512","495","400.00","Speakers((3 themes x 3 speakers x 6 schools)
Project coordinator ((30% of time))"
"9513","495","200.00","Local transport
Transport on the field
Local transport fees  for preparation of discussions in schools"
"9514","495","225.00","ICT training workshop,Entrepreneurial training,Career guidance will be administered by a specialist so that the students have the full benefit of the training"
"28352","723","360.00","2 Dell flatscreens"
"28353","723","220.00","1 Mobile projector screen"
"28354","723","185.00","1 Classroom projector screen"
"39668","1320","1200.00","Building greenhouse construction (two greenhouses to start with)"
"39804","672","1550.00","Inkoop 2 industriële machines"
"37646","396","900.00","45 computer handling charge x 20"
"37647","396","400.00","1 computer transport x 400"
"37648","396","2250.00","45 computer chairs and tables x 50"
"37649","396","1000.00","20 sewing machines x 50"
"37650","396","200.00","1 wallunit x 200"
"37651","396","100.00","1 worktop x 100"
"11242","662","8.00","4 Scheppen a 2 Euro"
"11243","662","180.00","2 kruiwagens a 90 Euro"
"11244","662","2292.00","131 ijzeren palen a 17,50 Euro"
"11245","662","727.00","15 rollen ijzerdraad a 48,50 Euro"
"11246","662","240.00","120 kilo verbindingsdraad a 2 Euro per kilo"
"11248","662","260.00","4 vrachtwagens met grind a 65 Euro per stuk"
"11249","662","225.00","3 vrachtwagens met zand a 75 Euro per stuk"
"11250","662","240.00","1 gate a 240 Euro"
"15258","772","82.00","Transportation of furniture/wood to apondabogo"
"15259","772","820.00","1” x 12” wood (35 cedis x 50 benches)"
"15260","772","468.00","2” x 6” wood (20 cedis x 50 benches)"
"15261","772","234.00","Workmanship (10 cedis x 50 benches)"
"15262","772","117.00","Glue & nails (5 cedis x 50 benches)"
"34572","681","900.00","Materiaalkosten houten constructie voor het dak:
-	180 Pc Hardwood 50x100 mm:   GhC   1.080,-
        -      8 packets of roofing nails:           GhC        88,-
        -      125 bundles of ceiling battens:  GhC      625,-                           "
"41719","1308","500.00","Grant management"
"41720","1308","500.00","Project management"
"41721","1308","400.00","Training costs"
"41722","1308","500.00","Services"
"41723","1308","600.00","Water filter systems"
"41724","1308","2500.00","Portable water monitoring kit"
"8965","137","15000.00","hier worden de totale kosten voor het dak vermeld. De aannemer heeft geen opsplitsing gemaakt."
"11261","567","3381.00","24 x stoel a € 20.-
6 x groepstafel a € 137,50
8 x boekenrek a € 206,25
1 x half afsltuitbare kast a € 218,75"
"18591","873","950.00","10 fietsen x 95"
"18592","873","225.00","Fietsmateriaal (zoals banden)"
"18593","873","300.00","1 jaar bijdrage voor de op te leiden fietsenmaker en de persoon die de fietsen uitleent en bewaakt"
"18594","873","25.00","Vervoer van de fietsen vanaf de fietsenwinkel"
"37522","748","3200.00","Aanschaf van 2 Toyota's"
"37523","748","600.00","Aanpassingen, vergunningen etc."
"38149","671","500.00","Infra structurele aanpassingen
aanleg elektriciteit, water, afvoer en riolering."
"38150","671","500.00","Gereedschappen en materiaal  voor de aanleg en overige activiteiten"
"38151","671","900.00","Oven en Fornuis  + aanrechtbladen, onderbladen en onderbouw en montage"
"25510","985","145.00","Reservepost voor te verwachten prijsstijgingen, de benzine is extreem duur."
"17570","393","40.00","Teacher manuals grade 1"
"17571","393","80.00","Teacher manuals grade 2"
"17572","393","2080.00","Schoolbooks grade 1"
"17573","393","2400.00","Schoolbooks grade 2"
"25511","985","300.00","PR ter bekendmaking van de mogelijkheid, en in Nederland PR organiseren in de vorm van flyers naast sociale media."
"41725","1311","1100.00","Radio programs to discuss sexual and reproductive health at Léona FM"
"16746","774","200.00","Laptop (tweedehands)"
"41726","1311","500.00","Grant management"
"16747","774","60.00","Literatuur"
"16748","774","75.00","Mannelijke Torso"
"16749","774","75.00","Vrouwelijke Torso"
"16750","774","60.00","Beeldplaten"
"39669","1320","800.00","Equipment  and greens for gardening: buckets, water hose, shade netting, spades, seeds, trees, herbs, seedling trays."
"18345","899","30.00","Werkhandschoenen (12 paar)"
"39670","1320","1000.00","Study material for the classes and to upgrade the resource centres: worktables, chairs, cabinets, poster, books, dvd's, cd's, globe, human body in 3D, magazines, posters, pens, notebooks, paint, concrete, brushes etc."
"39671","1320","1100.00","Equipment for outings: tents, sleeping bags, cooking equipment, food, drinks, torches, fees to enter national parks, fuel for the game vehicles, guidance of a ranger etc."
"39805","672","750.00","Ontwikkelen en aanschaffen marketing materiaal:
2 x banner
1000 x folders
50 t-shirts
10 tassen"
"13985","769","1500.00","schoolgeld voor 2011/2012 x 30"
"13986","769","1000.00","schoolboeken x 30"
"13987","769","300.00","schooluniforms x 30"
"19076","300","228.00","uitgraven en afvoeren grond"
"42723","857","825.00","11 Drainage pipes x 75"
"14528","753","7500.00","totaal zijn het 6 projecten per project zijn de kosten € 1500,00. Via de 1% club vragen wij € 5000,00. Via een matchinggrand van de Rotary International halen we nog een € 4000,00 op."
"14529","753","300.00","advies ter plaatse"
"14530","753","160.00","diversen"
"14531","753","300.00","toerusting en zaden"
"19077","300","846.00","gewapend beton voor fundering"
"14532","753","200.00","vervoer"
"14533","753","100.00","educatief materiaal"
"14534","753","240.00","middageten"
"14535","753","200.00","grondmonster toets"
"19078","300","654.00","gewapend beton voor opbouw"
"19079","300","1443.00","metselwerk opbouw toiletten"
"11169","619","2500.00",""" Pai Construction limited""
15/13 Moo 8 
Tambol  Wiangtai  Ampur Pai
Maehongson Province
58130"
"14242","776","2000.00","bed nets en medicijnen, eventueel nog andere materialen (zie toelichting)"
"41727","1311","500.00","Project management"
"19080","300","214.00","afwerking toiletten"
"19081","300","431.00","timmerwerk"
"19082","300","554.00","deuren in toiletten met slot"
"19083","300","215.00","dakbedekking toiletten"
"19084","300","290.00","aansluitingen"
